koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_srad
CONFIRMED,0,0,0,0,54.4183827,162.51384,0.586,4.507,874.8,2.83,443,25.8,2,0.927
FALSE POSITIVE,0,1,0,0,19.89913995,175.850252,0.969,1.7822,10829,14.6,638,76.3,1,0.868
FALSE POSITIVE,0,1,0,0,1.736952453,170.307565,1.276,2.40641,8079.2,33.46,1395,505.6,1,0.791
CONFIRMED,0,0,0,0,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406,40.9,1,1.046
CONFIRMED,0,0,0,0,4.13443512,172.97937,0.762,3.1402,686,2.77,1160,40.2,2,0.972
CONFIRMED,0,0,0,0,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360,15,3,0.972
CONFIRMED,0,0,0,0,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600,161.9,1,0.848
CONFIRMED,0,0,0,0,2.470613377,122.763305,0.818,1.74319,14231,13.04,1339,4304.3,1,0.964
CONFIRMED,0,1,0,0,2.204735417,121.3585417,0.224,3.88864,6674.7,16.1,2048,5945.9,1,1.952
CONFIRMED,0,0,0,0,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521,1741.5,1,1.451
CONFIRMED,0,0,0,0,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206,50.6,2,1.022
FALSE POSITIVE,0,1,0,0,11.52144606,170.839688,2.483,3.6399,17984,150.51,753,622.1,1,0.848
FALSE POSITIVE,0,1,0,0,19.22138894,184.5521637,1.065,4.79843,74284,49.29,698,2317,1,0.947
FALSE POSITIVE,0,1,0,0,16.46983774,180.881761,0.292,9.4378,10479,7.94,595,303.4,1,0.786
CONFIRMED,0,0,0,0,9.27358173,173.258155,0.387,3.2875,1288.3,2.47,649,87.2,1,0.696
CONFIRMED,0,0,0,0,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678,65.4,1,0.672
FALSE POSITIVE,0,1,1,1,2.696370652,170.73769,0.044,3.6129,397.9,1.58,1066,48.2,1,0.819
CONFIRMED,0,0,0,0,3.94105221,136.08662,0.226,2.5984,363.3,1.7,1018,28.9,2,0.91
FALSE POSITIVE,0,1,0,0,386.6030528,166.342079,0.9765,6.8057,24927,41.5,297,994,1,1.58
CONFIRMED,0,0,0,0,21.67699193,171.53594,0.896,3.4555,857.2,2.95,530,34.3,1,0.828
CONFIRMED,0,0,0,0,4.99677968,171.74208,0.71,2.1717,934.7,2.78,917,28.2,1,0.847
CONFIRMED,0,0,0,0,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012,61.8,1,0.831
FALSE POSITIVE,0,0,1,0,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452,181.1,1,0.831
FALSE POSITIVE,1,0,0,0,670.645531,209.04355,0.701,53.412,18091,14.14,196,642.7,1,0.983
FALSE POSITIVE,0,1,0,0,61.2563628,173.83826,1.248,7.633,5123.3,39.87,505,85.3,1,1.091
CONFIRMED,0,0,0,0,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439,51.2,2,0.848
CONFIRMED,0,0,0,0,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,823,47.1,3,0.848
CONFIRMED,0,0,0,0,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506,80,1,0.798
CONFIRMED,0,0,0,0,91.7732862,193.8378,0.606,6.473,652,2.12,359,19.1,2,0.798
CANDIDATE,0,0,0,0,4.959319244,172.2585292,0.831,2.22739,9802,12.21,1103,696.5,1,1.082
FALSE POSITIVE,0,1,1,0,2.701287801,170.69579,1.016,3.3827,860.4,6.54,1222,48.3,1,0.91
CONFIRMED,0,0,0,0,4.49876511,171.34905,0.312,3.7362,460,2.1,1133,29.5,1,0.969
FALSE POSITIVE,0,1,0,0,19.65120951,179.401981,0.723,5.2514,11766,12.42,730,513.4,1,1.063
CONFIRMED,0,0,0,0,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093,166.7,1,1.087
CONFIRMED,0,0,0,0,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,516,141.1,1,1.046
CONFIRMED,0,0,0,0,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,790,43.4,1,0.787
CONFIRMED,0,0,0,0,4.125543472,169.752585,0.597,3.1744,1487.3,4.43,1243,128.6,1,1.103
CONFIRMED,0,0,0,0,2.816504904,170.9676846,0.105,2.50587,16814,12.21,1219,1406.8,1,0.955
FALSE POSITIVE,0,1,1,0,33.93373447,186.67608,0.812,14.561,8503.7,7.34,430,236.1,1,0.705
CONFIRMED,0,0,0,0,4.431238488,171.015,0.405,3.15,1010.9,3.25,1104,71.1,1,1.015
CONFIRMED,0,0,0,0,11.37936986,133.84992,0.911,2.6255,1023.5,3.95,806,37.9,2,1.015
CONFIRMED,0,0,0,0,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785,88.4,1,1.012
CONFIRMED,0,0,0,0,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997,47.1,2,1.087
FALSE POSITIVE,0,1,0,0,7.442652004,169.9717797,0.137,2.3078,24446,15.03,967,835.6,1,0.956
CONFIRMED,0,0,0,0,16.38489988,172.72782,0.001,3.0249,1127.1,2,433,28.9,2,0.615
CONFIRMED,0,0,0,0,36.4454001,151.60125,0.028,4.007,1122.3,1.99,332,21.7,3,0.615
CONFIRMED,0,0,0,0,3.728732147,171.793255,0.558,2.683,5226.5,6.02,1023,345.2,1,0.809
CANDIDATE,0,0,0,0,40.4195037,173.56469,0.911,3.362,6256,7.51,467,36.9,1,0.781
CONFIRMED,0,0,0,0,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822,38.9,1,0.564
CONFIRMED,0,0,0,0,2.337437946,171.761982,0.28,1.9982,971.2,2.34,1070,82.4,1,0.765
CANDIDATE,0,0,0,0,7.2406612,137.75545,1.198,0.558,556.4,19.45,734,13.7,2,0.765
CANDIDATE,0,0,0,0,3.43591631,132.6624,0.624,3.133,23.2,0.55,1272,8.7,3,1.087
CONFIRMED,0,0,0,0,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396,71,1,0.473
CONFIRMED,0,0,0,0,7.275040844,169.994217,0.547,7.5377,3001,4.86,833,312.1,1,0.867
CONFIRMED,0,0,0,0,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393,37.1,1,0.56
CONFIRMED,0,0,0,0,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488,30.3,2,0.56
CONFIRMED,0,0,0,0,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677,35.8,1,0.75
CONFIRMED,0,0,0,0,43.84439721,151.93538,0.852,6.802,615.2,2.87,531,83.7,2,1.012
FALSE POSITIVE,0,1,1,0,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032,39,1,0.811
CANDIDATE,0,0,0,0,1.626630225,169.820171,1.26,2.1145,1620.6,32.43,1547,103.6,1,0.973
CONFIRMED,0,0,0,0,60.4189369,181.16367,0.094,5.039,931.3,2.36,390,20.1,2,0.788
CONFIRMED,0,0,0,0,12.61190435,180.892284,0.55,5.1497,6105.6,7.4,753,277.2,1,0.919
